ID,FuelTypeCode,StationName,StreetAddress,City,State,ZIP,StatusCode,ExpectedDate,GroupsWithAccessCode,GeocodeStatus,UpdatedAt,OwnerTypeCode,OpenDate,AccessCode,FacilityType,EVPricing,X,Y,GEOID,County,Population,Location
35501,ELEC,Bay Park Towers,3301 NE 5th Ave,Miami,FL,33137,E,,Public,GPS,12/21/2021 12:00:00 AM,,11/14/2020 12:00:00 AM,public,,,-80.186286,25.808021,12086,"Miami-Dade County, Florida",2699428,POINT (-80.186286 25.808021)
16924,ELEC,NKU-HIC NKU C-LOT 1,Kenton Dr,Newport,KY,41076,E,,Public,GPS,12/21/2021 12:00:00 AM,,09/25/2018 12:00:00 AM,public,,,-84.466867,39.031566,21037,"Campbell County, Kentucky",92861,POINT (-84.466867 39.031566)
15815,ELEC,Pine City,800 Main St S,Pine City,MN,55063,E,,Public,GPS,12/21/2021 12:00:00 AM,,09/01/2015 12:00:00 AM,public,,,-92.970185,45.820923,27115,"Pine County, Minnesota",29223,POINT (-92.970185 45.820923)
4760,ELEC,Four Seasons Resort Hualalai,72-100 Kaupulehu Drive,Kailua-Kona,HI,96740,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/31/2012 12:00:00 AM,public,,,-159.788556,21.863217,,,,POINT (-159.788556 21.863217)
25232,ELEC,AGPM,501 N. Magnolia Ave.,Orlando,FL,32801,E,,Public,GPS,12/21/2021 12:00:00 AM,,07/04/2019 12:00:00 AM,public,,FREE,-81.3764722,28.5496368,12095,"Orange County, Florida",1349746,POINT (-81.3764722 28.5496368)
24092,ELEC,WCL SOUTHWEST,2039 W 4000 S,Roy,UT,84067,E,,Public,GPS,12/21/2021 12:00:00 AM,,09/25/2019 12:00:00 AM,public,,,-112.029171,41.190091,49057,"Weber County, Utah",251498,POINT (-112.029171 41.190091)
32901,ELEC,BOCC BOCC EV,2 E Main St,Berryville,VA,22630,E,,Public,GPS,12/21/2021 12:00:00 AM,,06/19/2020 12:00:00 AM,public,,,-77.980543,39.150918,51043,"Clarke County, Virginia",14423,POINT (-77.980543 39.150918)
33255,ELEC,PITTSFIELD TWP WEST,6201 US-12,Saline,MI,48176,E,,Public,GPS,12/21/2021 12:00:00 AM,,07/10/2020 12:00:00 AM,public,,,-83.700732,42.197611,26161,"Washtenaw County, Michigan",367000,POINT (-83.700732 42.197611)
51747,ELEC,STORE STORE,50711 OR-62,Fort Klamath,OR,97626,E,,Public,GPS,12/21/2021 12:00:00 AM,,05/15/2021 12:00:00 AM,public,,,-121.973057,42.684988,41035,"Klamath County, Oregon",66921,POINT (-121.973057 42.684988)
37219,ELEC,Dayton,120 N 1st St,Dayton,WA,99328,E,,Public,200-9,12/21/2021 12:00:00 AM,,01/05/2021 12:00:00 AM,public,,,-117.98068,46.320465,53013,"Columbia County, Washington",3992,POINT (-117.98068 46.320465)
41240,ELEC,ONCUE 120 EV #1,4100 E 15th St,Edmond,OK,73013,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/27/2021 12:00:00 AM,public,,,-97.427072,35.63728,40109,"Oklahoma County, Oklahoma",787216,POINT (-97.427072 35.63728)
52400,ELEC,Muni Lot 3,98 N High Street,Gahanna,OH,43230,E,,Public,GPS,12/21/2021 12:00:00 AM,,06/09/2021 12:00:00 AM,public,,,-82.877855,40.020173,39049,"Franklin County, Ohio",1290360,POINT (-82.877855 40.020173)
53296,ELEC,AMES EV DC1,2108 Isaac Newton Dr,Ames,IA,50010,E,,Public,GPS,12/21/2021 12:00:00 AM,,07/15/2021 12:00:00 AM,public,,,-93.585322,42.009389,19169,"Story County, Iowa",96941,POINT (-93.585322 42.009389)
36660,ELEC,UW LOT 67,2002 Linden Drive,Madison,WI,53706,E,,Public,GPS,12/21/2021 12:00:00 AM,,12/11/2020 12:00:00 AM,public,,,-89.420074,43.076508,55025,"Dane County, Wisconsin",536078,POINT (-89.420074 43.076508)
52304,ELEC,CITY OF MIAMI CITY HALL 2,3400 Pan American Dr,Miami,FL,33133,E,,Public,GPS,12/21/2021 12:00:00 AM,,06/03/2021 12:00:00 AM,public,,,-80.234192,25.727437,,,,POINT (-80.234192 25.727437)
51017,ELEC,WESTON VOLVO 302,3660 Weston Rd,Davie,FL,33331,E,,Public,GPS,12/21/2021 12:00:00 AM,,04/24/2021 12:00:00 AM,public,,,-80.361172,26.073821,12011,"Broward County, Florida",1926205,POINT (-80.361172 26.073821)
40856,ELEC,STATEOFUTDAS DCFSOGDEN1,950 25th St,Ogden,UT,84401,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/27/2021 12:00:00 AM,public,,,-111.955248,41.22078,49057,"Weber County, Utah",251498,POINT (-111.955248 41.22078)
41210,ELEC,3CDC 3CDC1,309 E 8th St,Cincinnati,OH,45202,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/27/2021 12:00:00 AM,public,,,-84.508421,39.105122,39061,"Hamilton County, Ohio",813589,POINT (-84.508421 39.105122)
43774,ELEC,G1A G1C,2600 Shattuck Ave,Berkeley,CA,94704,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/27/2021 12:00:00 AM,public,,,-122.267671,37.861612,6001,"Alameda County, California",1656754,POINT (-122.267671 37.861612)
36658,ELEC,KANAB CENTER KANAB ST6,202 E 100 N,Kanab,UT,84741,E,,Public,GPS,12/21/2021 12:00:00 AM,,12/11/2020 12:00:00 AM,public,,,-112.52448,37.049057,49025,"Kane County, Utah",7484,POINT (-112.52448 37.049057)
59569,ELEC,LPS LINCOLN HS,2229 J St,Lincoln,NE,68510,E,,Public,GPS,12/21/2021 12:00:00 AM,,12/11/2021 12:00:00 AM,public,,,-96.688725,40.808241,31109,"Lancaster County, Nebraska",313158,POINT (-96.688725 40.808241)
57117,ELEC,H-E-B,9710 Katy Fwy,Houston,TX,77055,E,,Public,GPS,12/21/2021 12:00:00 AM,,10/25/2021 12:00:00 AM,public,,,-95.532367,29.785281,48201,"Harris County, Texas",4646630,POINT (-95.532367 29.785281)
59305,ELEC,AXIS 2300 EV 2,2300 Dupont Dr,Irvine,CA,92612,E,,Public,GPS,12/21/2021 12:00:00 AM,,12/08/2021 12:00:00 AM,public,,,-117.857563,33.672489,6059,"Orange County, California",3168044,POINT (-117.857563 33.672489)
59322,ELEC,NMF V STATION 6,424 Hull St,Richmond,VA,23224,E,,Public,GPS,12/21/2021 12:00:00 AM,,12/08/2021 12:00:00 AM,public,,,-77.438108,37.523821,51760,"Richmond city, Virginia",226622,POINT (-77.438108 37.523821)
58600,ELEC,VCU N DECK 3,601 N 10th St,Richmond,VA,23298,E,,Public,GPS,12/21/2021 12:00:00 AM,,11/13/2021 12:00:00 AM,public,,,-77.429663,37.543431,51760,"Richmond city, Virginia",226622,POINT (-77.429663 37.543431)
53768,ELEC,META MPK24-04 ADA,200 Jefferson Dr,Menlo Park,CA,94025,E,,Public,GPS,12/21/2021 12:00:00 AM,,08/05/2021 12:00:00 AM,public,,,-122.169548,37.480081,6081,"San Mateo County, California",767423,POINT (-122.169548 37.480081)
32572,ELEC,PIE AE TLC STATION 1,721 Barton Springs Rd,Austin,TX,78704,E,,Public,GPS,12/21/2021 12:00:00 AM,,06/12/2020 12:00:00 AM,public,,,-97.751993,30.258379,48453,"Travis County, Texas",1226805,POINT (-97.751993 30.258379)
42891,ELEC,"LONGFELLOW 1800 8 (90,90)",1800 Owens St,San Francisco,CA,94158,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/27/2021 12:00:00 AM,public,,,-122.392607,37.765772,6075,"San Francisco County, California",874961,POINT (-122.392607 37.765772)
46806,ELEC,COUNTY EV 23-24,150 W Tasman Dr,San Jose,CA,95134,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/27/2021 12:00:00 AM,public,,,-121.952993,37.40808,6085,"Santa Clara County, California",1927470,POINT (-121.952993 37.40808)
37160,ELEC,Omni CG Self Park - 2,1500 Masters Blvd,ChampionsGate,FL,33896,E,,Public,GPS,12/21/2021 12:00:00 AM,,01/05/2021 12:00:00 AM,public,,,-81.625946,28.261644,12097,"Osceola County, Florida",351955,POINT (-81.625946 28.261644)
29175,ELEC,MARY STREET EVCS KR #4,3310 A Mary St,Miami,FL,33133,E,,Public,GPS,12/21/2021 12:00:00 AM,,06/04/2020 12:00:00 AM,public,,,-80.239719,25.729679,12086,"Miami-Dade County, Florida",2699428,POINT (-80.239719 25.729679)
21625,ELEC,MEIJER STORES 309 MENTOR 2,9164 Mentor Ave,Mentor,OH,44060,E,,Public,GPS,12/21/2021 12:00:00 AM,,04/02/2019 12:00:00 AM,public,,,-81.311688,41.67497,39085,"Lake County, Ohio",229954,POINT (-81.311688 41.67497)
14222,LPG,Delta Fuel,27797 Highway 15,Ferriday,LA,71334,E,,Public,200-9,03/15/2021 12:00:00 AM,P,03/03/2021 12:00:00 AM,public,FUEL_RESELLER,,-91.56253,31.629263,22029,"Concordia Parish, Louisiana",19778,POINT (-91.56253 31.629263)
2164,E85,Krachey's BP Truck Stop,1910 S Marquette Rd,Prairie Du Chien,WI,53821,E,,Public,200-9,03/04/2021 12:00:00 AM,P,06/15/2007 12:00:00 AM,public,TRUCK_STOP,,-91.128131,43.029262,55023,"Crawford County, Wisconsin",16235,POINT (-91.128131 43.029262)
37042,ELEC,Maple Hill Volvo Cars,5622 W Main St,Kalamazoo,MI,49009,E,,Public,GPS,08/04/2021 12:00:00 AM,P,12/28/2020 12:00:00 AM,public,CAR_DEALER,FREE,-85.6591,42.296286,26077,"Kalamazoo County, Michigan",262745,POINT (-85.6591 42.296286)
8608,ELEC,Internal Services Department Telecomm,1110 N Eastern Ave,Los Angeles,CA,90063,E,,Public,GPS,12/09/2021 12:00:00 AM,LG,08/01/2014 12:00:00 AM,public,MUNI_GOV,Free,-118.170353,34.048249,6037,"Los Angeles County, California",10081570,POINT (-118.170353 34.048249)
25696,ELEC,PUBLIC STATIONS LAKE ST GEN PUB,N Lake &amp; State,Madison,WI,53703,E,,Public,GPS,12/21/2021 12:00:00 AM,,12/04/2019 12:00:00 AM,public,,,-89.397572,43.07423,55025,"Dane County, Wisconsin",536078,POINT (-89.397572 43.07423)
646,LPG,U-Haul,1702 Mechanical Blvd,Garner,NC,27529,E,,Public,200-9,10/04/2021 12:00:00 AM,P,11/01/2000 12:00:00 AM,public,RENTAL_CAR_RETURN,,-78.64714,35.72547,37183,"Wake County, North Carolina",1069079,POINT (-78.64714 35.72547)
13951,ELEC,EVERGY @BNK OF AM-212B,8679 College Blvd @ Bank of America,Overland Park,KS,66210,E,,Public,GPS,12/21/2021 12:00:00 AM,,09/14/2017 12:00:00 AM,public,,,-94.685957,38.926466,20091,"Johnson County, Kansas",591506,POINT (-94.685957 38.926466)
31844,ELEC,ALLIANCE CENTER TWO ALLIANCE #1,3560 Lenox Road,Atlanta,GA,30326,E,,Public,GPS,12/21/2021 12:00:00 AM,,06/12/2020 12:00:00 AM,public,,,-84.365865,33.851657,13121,"Fulton County, Georgia",1036200,POINT (-84.365865 33.851657)